location,name,freq,weighting,n_factors,date,ret
bra,accruals,monthly,vw_cap,5,2019-10-31,-0.0172538402495005
bra,accruals,monthly,vw_cap,5,2019-11-30,0.0239768532600636
bra,accruals,monthly,vw_cap,5,2019-12-31,-0.0262214737634175
bra,accruals,monthly,vw_cap,5,2020-01-31,-0.0110358826155093
bra,accruals,monthly,vw_cap,5,2020-02-29,-0.0162156379123104
bra,accruals,monthly,vw_cap,5,2020-03-31,0.0579644943912909
bra,accruals,monthly,vw_cap,5,2020-04-30,0.00313626689518133
bra,accruals,monthly,vw_cap,5,2020-05-31,-0.0599039939421058
bra,accruals,monthly,vw_cap,5,2020-06-30,-0.0499563641575844
bra,accruals,monthly,vw_cap,5,2020-07-31,-0.0359235212860945
bra,accruals,monthly,vw_cap,5,2020-08-31,0.0219511293426535
bra,accruals,monthly,vw_cap,5,2020-09-30,-0.00959365518991493
bra,accruals,monthly,vw_cap,6,2020-10-31,-0.0416320543809442
bra,accruals,monthly,vw_cap,6,2020-11-30,0.0488834488787383
bra,accruals,monthly,vw_cap,6,2020-12-31,0.0106237683511497
bra,accruals,monthly,vw_cap,6,2021-01-31,0.0589363708895696
bra,accruals,monthly,vw_cap,6,2021-02-28,0.017130149072432
bra,accruals,monthly,vw_cap,6,2021-03-31,0.0544927810054534
bra,accruals,monthly,vw_cap,6,2021-04-30,-0.0249984958555388
bra,accruals,monthly,vw_cap,6,2021-05-31,-0.00481000718586816
bra,accruals,monthly,vw_cap,6,2021-06-30,-0.0196775043552001
bra,accruals,monthly,vw_cap,6,2021-07-31,-0.00440459482031935
bra,accruals,monthly,vw_cap,6,2021-08-31,0.0355649666603794
bra,accruals,monthly,vw_cap,6,2021-09-30,-0.0120554122260741
bra,accruals,monthly,vw_cap,6,2021-10-31,0.040184958466258
bra,accruals,monthly,vw_cap,6,2021-11-30,0.00694143293669088
bra,accruals,monthly,vw_cap,6,2021-12-31,0.0126012247139069
bra,accruals,monthly,vw_cap,6,2022-01-31,-0.0113952124622195
bra,accruals,monthly,vw_cap,6,2022-02-28,0.00343649342971606
bra,accruals,monthly,vw_cap,6,2022-03-31,-0.0135944890778549
bra,accruals,monthly,vw_cap,6,2022-04-30,0.0448456257479636
bra,accruals,monthly,vw_cap,6,2022-05-31,0.0151383472024192
bra,accruals,monthly,vw_cap,6,2022-06-30,0.0118662415191972
bra,accruals,monthly,vw_cap,6,2022-07-31,-0.0374306849950698
bra,accruals,monthly,vw_cap,6,2022-08-31,-0.00888917949935347
bra,accruals,monthly,vw_cap,6,2022-09-30,-0.0307650422452242
