location,name,freq,weighting,n_countries,date,ret
world_ex_us,momentum,monthly,vw,42,1998-01-31,-0.015782820241903
world_ex_us,momentum,monthly,vw,42,1998-02-28,-0.0243583306662091
world_ex_us,momentum,monthly,vw,43,1998-03-31,0.00214570986242221
world_ex_us,momentum,monthly,vw,42,1998-04-30,-0.00115758412653881
world_ex_us,momentum,monthly,vw,41,1998-05-31,0.0167904192232106
world_ex_us,momentum,monthly,vw,42,1998-06-30,0.0231585029463098
world_ex_us,momentum,monthly,vw,42,1998-07-31,0.0366181188001724
world_ex_us,momentum,monthly,vw,42,1998-08-31,0.0100691149245533
world_ex_us,momentum,monthly,vw,43,1998-09-30,-0.0364628097718688
world_ex_us,momentum,monthly,vw,42,1998-10-31,-0.0426206552011725
world_ex_us,momentum,monthly,vw,42,1998-11-30,-0.0357894520682403
world_ex_us,momentum,monthly,vw,43,1998-12-31,0.0422404525027036
world_ex_us,momentum,monthly,vw,42,1999-01-31,0.0198557187831296
world_ex_us,momentum,monthly,vw,42,1999-02-28,-0.0277790038883098
world_ex_us,momentum,monthly,vw,41,1999-03-31,-0.0475565604613585
world_ex_us,momentum,monthly,vw,43,1999-04-30,-0.0236600154119532
world_ex_us,momentum,monthly,vw,43,1999-05-31,-0.0115767973212076
world_ex_us,momentum,monthly,vw,43,1999-06-30,0.029515127821684
world_ex_us,momentum,monthly,vw,44,1999-07-31,0.0219346780249207
world_ex_us,momentum,monthly,vw,43,1999-08-31,0.00688966902947739
world_ex_us,momentum,monthly,vw,43,1999-09-30,0.0217342306863434
world_ex_us,momentum,monthly,vw,42,1999-10-31,0.0223065846067709
world_ex_us,momentum,monthly,vw,43,1999-11-30,0.0941056230002558
world_ex_us,momentum,monthly,vw,43,1999-12-31,0.0823422132071388
world_ex_us,momentum,monthly,vw,43,2000-01-31,0.00766347110701426
world_ex_us,momentum,monthly,vw,43,2000-02-29,0.104940394890837
world_ex_us,momentum,monthly,vw,43,2000-03-31,-0.0797210209509412
world_ex_us,momentum,monthly,vw,41,2000-04-30,-0.0527257490698461
world_ex_us,momentum,monthly,vw,42,2000-05-31,-0.0582940945485767
world_ex_us,momentum,monthly,vw,41,2000-06-30,0.0150537186273299
world_ex_us,momentum,monthly,vw,41,2000-07-31,-0.00857962261995195
world_ex_us,momentum,monthly,vw,41,2000-08-31,0.00882504585825908
world_ex_us,momentum,monthly,vw,42,2000-09-30,0.00193201671045578
world_ex_us,momentum,monthly,vw,42,2000-10-31,-0.015170889367816
world_ex_us,momentum,monthly,vw,43,2000-11-30,0.0305343164424111
world_ex_us,momentum,monthly,vw,43,2000-12-31,0.0413680624069236
world_ex_us,momentum,monthly,vw,43,2001-01-31,-0.0867298388548593
world_ex_us,momentum,monthly,vw,42,2001-02-28,0.0960504548897952
world_ex_us,momentum,monthly,vw,41,2001-03-31,0.0182206468664065
world_ex_us,momentum,monthly,vw,41,2001-04-30,-0.0252942357147555
